date,time,latitude,longitude
2024-12-14,14:02:15,19.0495770,72.9318700
2024-12-14,14:02:16,19.0496090,72.9319640
2024-12-14,14:02:17,19.0496410,72.9320560
2024-12-14,14:02:18,19.0496780,72.9321510
2024-12-14,14:02:19,19.0497100,72.9322450
2024-12-14,14:02:20,19.0497410,72.9323400
2024-12-14,14:02:21,19.0497820,72.9324270
2024-12-14,14:02:22,19.0498150,72.9325160
2024-12-14,14:02:23,19.0498470,72.9326020
2024-12-14,14:02:24,19.0498830,72.9326900
2024-12-14,14:02:25,19.0499160,72.9327760
2024-12-14,14:02:26,19.0499470,72.9328600
2024-12-14,14:02:27,19.0499810,72.9329450
2024-12-14,14:02:28,19.0500140,72.9330330
2024-12-14,14:02:29,19.0500480,72.9331240
2024-12-14,14:02:30,19.0500820,72.9332160
2024-12-14,14:02:31,19.0501140,72.9333050
2024-12-14,14:02:32,19.0501450,72.9333900
2024-12-14,14:02:33,19.0501730,72.9334640
2024-12-14,14:02:34,19.0501950,72.9335220
2024-12-14,14:02:35,19.0502140,72.9335670
2024-12-14,14:02:36,19.0502330,72.9336100
2024-12-14,14:02:37,19.0502530,72.9336510
2024-12-14,14:02:38,19.0502720,72.9336930
2024-12-14,14:02:39,19.0502910,72.9337370
2024-12-14,14:02:40,19.0503150,72.9337920
2024-12-14,14:02:41,19.0503410,72.9338530
2024-12-14,14:02:42,19.0503690,72.9339180
2024-12-14,14:02:43,19.0504000,72.9339860
2024-12-14,14:02:44,19.0504300,72.9340550
2024-12-14,14:02:45,19.0504560,72.9341240
2024-12-14,14:02:46,19.0504800,72.9341910
2024-12-14,14:02:47,19.0505030,72.9342590
2024-12-14,14:02:48,19.0505220,72.9343240
2024-12-14,14:02:49,19.0505400,72.9343890
2024-12-14,14:02:50,19.0505570,72.9344550
2024-12-14,14:02:51,19.0505750,72.9345210
2024-12-14,14:02:52,19.0505940,72.9345890
2024-12-14,14:02:53,19.0506170,72.9346580
2024-12-14,14:02:54,19.0506370,72.9347280
2024-12-14,14:02:55,19.0506610,72.9347990
2024-12-14,14:02:56,19.0506830,72.9348650
2024-12-14,14:02:57,19.0507070,72.9349320
2024-12-14,14:02:58,19.0507310,72.9349970
2024-12-14,14:02:59,19.0507510,72.9350600
2024-12-14,14:03:00,19.0507730,72.9351250
2024-12-14,14:03:01,19.0507950,72.9351900
2024-12-14,14:03:02,19.0508190,72.9352560
2024-12-14,14:03:03,19.0508420,72.9353220
2024-12-14,14:03:04,19.0508660,72.9353880
2024-12-14,14:03:05,19.0508910,72.9354550
2024-12-14,14:03:06,19.0509180,72.9355210
2024-12-14,14:03:07,19.0509460,72.9355860
2024-12-14,14:03:08,19.0509740,72.9356500
2024-12-14,14:03:09,19.0510010,72.9357160
2024-12-14,14:03:10,19.0510220,72.9357810
2024-12-14,14:03:11,19.0510460,72.9358470
2024-12-14,14:03:12,19.0510700,72.9359140
2024-12-14,14:03:13,19.0510920,72.9359780
2024-12-14,14:03:14,19.0511130,72.9360410
2024-12-14,14:03:15,19.0511340,72.9361000
2024-12-14,14:03:16,19.0511550,72.9361590
2024-12-14,14:03:17,19.0511770,72.9362170
2024-12-14,14:03:18,19.0511990,72.9362770
2024-12-14,14:03:19,19.0512190,72.9363330
2024-12-14,14:03:20,19.0512380,72.9363820
2024-12-14,14:03:21,19.0512580,72.9364240
2024-12-14,14:03:22,19.0512810,72.9364550
2024-12-14,14:03:23,19.0513080,72.9364780
2024-12-14,14:03:24,19.0513410,72.9364960
2024-12-14,14:03:25,19.0513760,72.9365090
2024-12-14,14:03:26,19.0514130,72.9365090
2024-12-14,14:03:27,19.0514470,72.9365100
2024-12-14,14:03:28,19.0514850,72.9365090
2024-12-14,14:03:29,19.0515290,72.9365010
2024-12-14,14:03:30,19.0515770,72.9364810
2024-12-14,14:03:31,19.0516330,72.9364540
2024-12-14,14:03:32,19.0516950,72.9364280
2024-12-14,14:03:33,19.0517630,72.9363990
2024-12-14,14:03:34,19.0518360,72.9363630
2024-12-14,14:03:35,19.0519110,72.9363210
2024-12-14,14:03:36,19.0519790,72.9362770
2024-12-14,14:03:37,19.0520510,72.9362320
2024-12-14,14:03:38,19.0521270,72.9361860
2024-12-14,14:03:39,19.0522030,72.9361380
2024-12-14,14:03:40,19.0522800,72.9360870
2024-12-14,14:03:41,19.0523590,72.9360330
2024-12-14,14:03:42,19.0524400,72.9359800
2024-12-14,14:03:43,19.0525200,72.9359240
2024-12-14,14:03:44,19.0526020,72.9358690
2024-12-14,14:03:45,19.0526860,72.9358130
2024-12-14,14:03:46,19.0527690,72.9357580
2024-12-14,14:03:47,19.0528480,72.9357030
2024-12-14,14:03:48,19.0529240,72.9356500
2024-12-14,14:03:49,19.0529940,72.9355980
2024-12-14,14:03:50,19.0530630,72.9355510
2024-12-14,14:03:51,19.0531330,72.9355040
2024-12-14,14:03:52,19.0532080,72.9354530
2024-12-14,14:03:53,19.0532880,72.9354010
2024-12-14,14:03:54,19.0533710,72.9353480
2024-12-14,14:03:55,19.0534550,72.9352880
2024-12-14,14:03:56,19.0535390,72.9352290
2024-12-14,14:03:57,19.0536240,72.9351660
2024-12-14,14:03:58,19.0537100,72.9351020
2024-12-14,14:03:59,19.0537930,72.9350350
2024-12-14,14:04:00,19.0538820,72.9349630
2024-12-14,14:04:01,19.0539660,72.9348960
2024-12-14,14:04:02,19.0540510,72.9348180
2024-12-14,14:04:03,19.0541370,72.9347470
2024-12-14,14:04:04,19.0542200,72.9346720
2024-12-14,14:04:05,19.0543020,72.9345950
